model,emscad_test_f1,emscad_test_precision,emscad_test_recall,threshold,openbay_recall,openbay_mean_prob,openbay_median_prob
lightgbm,0.8494208494208494,0.9482758620689655,0.7692307692307693,0.16,0.9906,0.895927679953826,0.9744971300306162
xgboost,0.8041958041958042,0.8041958041958042,0.8041958041958042,0.28,0.9992,0.8906924724578857,0.9183104634284973
random_forest,0.7804878048780488,0.7777777777777778,0.7832167832167832,0.24000000000000002,1.0,0.4430981666666667,0.44666666666666666
logistic_regression,0.7692307692307693,0.8076923076923077,0.7342657342657343,0.8,1.0,0.9781072134988841,0.9796703572606023
naive_bayes,0.7096774193548387,0.6586826347305389,0.7692307692307693,0.18,0.5867,0.20808940418366223,0.19635300686855175
