model,emscad_test_f1,emscad_test_precision,emscad_test_recall,openbay_recall,openbay_mean_prob,openbay_median_prob,threshold
logistic_regression,0.7915194346289752,0.8,0.7832167832167832,0.9969,0.7263634384345804,0.7271803877493621,0.58
naive_bayes,0.24561403508771928,0.24647887323943662,0.24475524475524477,0.0,0.01653416075363797,0.015496023048683773,0.22
random_forest,0.6869300911854104,0.6075268817204301,0.7902097902097902,1.0,0.45029175000000005,0.4525,0.2
xgboost,0.795774647887324,0.8014184397163121,0.7902097902097902,0.9949,0.8559617400169373,0.9086278676986694,0.30000000000000004
lightgbm,0.8252788104089219,0.8809523809523809,0.7762237762237763,0.9997,0.9337522436222396,0.9665204156572672,0.12000000000000001
