model,accuracy,precision,recall,f1,roc_auc,pr_auc,openbay_recall,openbay_mean_score,openbay_median_score
tfidf_svm,0.9877165354330709,0.956140350877193,0.7622377622377622,0.8482490272373541,0.9819316567337675,0.9028296094282309,0.0118,-0.20688357922760087,-0.21103442813581438
tfidf_lr,0.9795275590551181,0.75,0.8181818181818182,0.782608695652174,0.9762763621602673,0.8734183138662769,1.0,0.6477033173204526,0.6471970840237844
tfidf_nb,0.9549606299212599,0.0,0.0,0.0,0.8920166245364134,0.2707020068711541,0.0,0.0007200552488463065,0.0006506887720308214
